key_resp_3.keys,key_resp_3.rt,slider.response,slider.rt,rjt_rating,rjt_RT,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_22.ran,rjt_order,word1,word2,attention,participant,session,date,expName,psychopyVersion,OS,frameRate,trials_99.thisRepN,trials_99.thisTrialN,trials_99.thisN,trials_99.thisIndex,trials_99.ran,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,repOne,repTwo,slider_2.response,slider_2.rt,trials_24.thisRepN,trials_24.thisTrialN,trials_24.thisN,trials_24.thisIndex,trials_24.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,slider_extend_2.response,slider_extend_2.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,vCue2,R1,R2,R3,R4,correct
return,3.2846,7,16.4307,7,16.4307,0,0,0,94,1,68,flower,tomato,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,3.3596,6,3.3596,0,1,1,9,1,75,cookie,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,2.0419,9,2.0419,0,2,2,66,1,20,rose,tree,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2.0536,4,2.0536,0,3,3,20,1,39,melon,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.5031,4,1.5031,0,4,4,12,1,67,flower,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,5.071,2,5.071,0,5,5,11,1,37,garden,refrigerator,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2.3449,7,2.3449,0,6,6,42,1,77,refrigerator,yogurt,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,6.1702,5,6.1702,0,7,7,76,1,36,broom,kitchen,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,3.4112,4,3.4112,0,8,8,45,1,10,flower,onion,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2.2955,7,2.2955,0,9,9,52,1,4,chocolate,pretzel,,90422,001,2022-04-27_17h14.46.358,SPAMnetsValid,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
